title,year,genres,plot
The Shawshank Redemption,1994,Drama|Crime,"A banker wrongly imprisoned forms an unlikely friendship and engineers a patient, decades-long plan for freedom and dignity."
The Godfather,1972,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his reluctant son amid betrayal and family loyalty.
The Dark Knight,2008,Action|Crime|Drama,"Batman faces the Joker, a chaotic criminal mastermind who pushes Gotham and its hero to ethical limits."
Inception,2010,Action|Sci-Fi|Thriller,A skilled thief enters dreams to steal secrets but must plant an idea while navigating layers of subconscious reality.
Interstellar,2014,Adventure|Drama|Sci-Fi,Explorers travel via a wormhole to save humanity while a father and daughter are bound by time and gravity.
Parasite,2019,Thriller|Drama,"A poor family infiltrates a wealthy household, exposing class divisions through darkly comic twists."
Spirited Away,2001,Animation|Fantasy|Adventure,A ten-year-old girl enters a spirit world and must work to free her parents and return home.
Lagaan,2001,Drama|Sport|Musical,Villagers in colonial India challenge British officers to a game of cricket to avoid steep taxes.
Dangal,2016,Sport|Drama|Biography,A former wrestler trains his daughters to become world-class champions against social odds.
Baahubali: The Beginning,2015,Action|Drama|Fantasy,A young man discovers his royal heritage and fights to reclaim a kingdom lost to treachery.
3 Idiots,2009,Comedy|Drama,"Three engineering students navigate friendship, pressure, and the pursuit of passion over rote success."
Andhadhun,2018,Thriller|Black Comedy,A pianist feigns blindness and stumbles into a web of crime and deception.
Drishyam,2013,Thriller|Crime|Drama,A man goes to extreme lengths to protect his family after an unexpected crime.
Jab We Met,2007,Romance|Comedy|Drama,An impulsive young woman and a depressed businessman embark on an unexpected journey of self-discovery.
BARFI!,2012,Romance|Comedy|Drama,A charming mute-deaf man and an autistic woman find love and acceptance in unconventional ways.
Mad Max: Fury Road,2015,Action|Adventure|Sci-Fi,"In a post-apocalyptic wasteland, a rebel fights a tyrant in a high-speed convoy chase to freedom."
Whiplash,2014,Drama|Music,An ambitious drummer clashes with a ruthless instructor in pursuit of greatness.
The Social Network,2010,Drama|Biography,"The turbulent founding of Facebook tests friendships, ethics, and ambition."
Barbie,2023,Comedy|Fantasy|Adventure,"Barbie leaves Barbieland for the real world, confronting identity and societal expectations with humor and meta style."
Oppenheimer,2023,Biography|Drama|History,"J. Robert Oppenheimer leads the Manhattan Project, grappling with scientific brilliance and moral fallout."
